1,abandon,Verb,|abandoned|abandoned|abandoning|abandons|
2,accept,Verb,|accepted|accepted|accepting|accepts|
3,accuse,Verb,|accused|accused|accusing|accuses|
4,acknowledge,Verb,|acknowledged|acknowledged|acknowledging|acknowledges|
5,act,Verb,|acted|acted|acting|acts|
6,add,Verb,|added|added|adding|adds|
7,admire,Verb,|admired|admired|admiring|admires|
8,admit,Verb,|admitted|admitted|admitting|admits|
9,advise,Verb,|advised|advised|advising|advises|
10,affect,Verb,|affected|affected|affecting|affects|
11,agree,Verb,|agreed|agreed|agreeing|agrees|
12,allow,Verb,|allowed|allowed|allowing|allows|
13,amaze,Verb,|amazed|amazed|amazing|amazes|
14,ambush,Verb,|ambushed|ambushed|ambushing|ambushes|
15,announce,Verb,|announced|announced|announcing|announces|
16,annoy,Verb,|annoyed|annoyed|annoying|annoys|
17,anoint,Verb,|anointed|anointed|anointing|anoints|
18,answer,Verb,|answered|answered|answering|answers|
19,appear,Verb,|appeared|appeared|appearing|appears|
20,appoint,Verb,|appointed|appointed|appointing|appoints|
21,approve,Verb,|approved|approved|approving|approves|
22,argue,Verb,|argued|argued|arguing|argues|
23,arrest,Verb,|arrested|arrested|arresting|arrests|
24,arrive,Verb,|arrived|arrived|arriving|arrives|
25,ask,Verb,|asked|asked|asking|asks|
26,assist,Verb,|assisted|assisted|assisting|assists|
27,attach,Verb,|attached|attached|attaching|attaches|
28,attack,Verb,|attacked|attacked|attacking|attacks|
29,attend,Verb,|attended|attended|attending|attends|
30,attract,Verb,|attracted|attracted|attracting|attracts|
31,avoid,Verb,|avoided|avoided|avoiding|avoids|
32,bake,Verb,|baked|baked|baking|bakes|
33,baptize,Verb,|baptized|baptized|baptizing|baptizes|
34,bark,Verb,|barked|barked|barking|barks|
35,be,Verb,|was|been|being|is|
36,be born,Verb,|was|been|being|is|
37,be concerned,Verb,|bed|bed|bing|bes|
38,be determined,Verb,|was|been|being|is|
39,be fulfilled,Verb,|bed|bed|bing|bes|
40,be locked,Verb,|bed|bed|bing|bes|
41,be married,Verb,|was|been|being|is|
42,be tied,Verb,|was|been|being|is|
43,be worried,Verb,|was|been|being|is|
44,be hurt,Verb,|bed|bed|bing|bes|
45,beat,Verb,|beat|beaten|beating|beats|
46,become,Verb,|became|become|becoming|becomes|
47,beg,Verb,|begged|begged|begging|begs|
48,begin,Verb,|began|begun|beginning|begins|
49,behave,Verb,|behaved|behaved|behaving|behaves|
50,behold,Verb,|beheld|beheld|beholding|beholds|
51,believe,Verb,|believed|believed|believing|believes|
52,belong,Verb,|belonged|belonged|belonging|belongs|
